seas_id,season,player_id,player,tm,pos,per,ows,dws,ws,ws_48,obpm,bpm,vorp,mvp_share,fg_per_game,pts_per_game
28971,2021,4066,Anthony Davis,LAL,PF,22.1,1.3,2.4,3.7,0.152,2.6,4.8,2.0,0.0,8.4,21.8
28323,2020,4066,Anthony Davis,LAL,PF,27.4,6.7,4.4,11.1,0.25,5.4,8.0,5.4,0.081,8.9,26.1
27614,2019,4066,Anthony Davis,NOP,C,30.3,6.4,3.1,9.5,0.247,7.1,9.4,5.3,0.0,9.5,25.9
26947,2018,4066,Anthony Davis,NOP,PF,28.9,8.8,4.9,13.7,0.241,5.3,6.7,5.9,0.441,10.4,28.1
26357,2017,4066,Anthony Davis,NOP,C,27.5,5.9,5.1,11.0,0.195,4.4,5.9,5.4,0.002,10.3,28.0
25780,2016,4066,Anthony Davis,NOP,C,25.0,4.4,2.8,7.2,0.16,3.6,3.9,3.2,0.0,9.2,24.3
25137,2015,4066,Anthony Davis,NOP,PF,30.8,9.9,4.2,14.0,0.274,6.6,8.9,6.7,0.156,9.4,24.4
24524,2014,4066,Anthony Davis,NOP,PF,26.5,7.2,3.2,10.4,0.212,4.0,4.8,4.0,0.0,7.8,20.8
28991,2021,4474,Ben Simmons,PHI,PG,18.3,2.7,3.3,6.0,0.153,0.7,2.9,2.3,0.003,5.6,14.3
28336,2020,4474,Ben Simmons,PHI,PG,20.4,3.8,3.1,6.9,0.165,1.3,3.6,2.8,0.0,6.6,16.4
25794,2016,3920,Blake Griffin,LAC,PF,22.1,2.2,1.6,3.8,0.156,3.4,4.5,1.9,0.0,8.6,21.4
25160,2015,3920,Blake Griffin,LAC,PF,22.8,6.6,2.4,9.0,0.183,3.8,4.0,3.6,0.002,8.6,21.9
24547,2014,3920,Blake Griffin,LAC,PF,23.9,8.1,4.1,12.2,0.205,3.8,4.5,4.7,0.347,9.0,24.1
23958,2013,3920,Blake Griffin,LAC,PF,22.4,6.8,3.9,10.6,0.196,3.2,4.1,4.0,0.0,7.2,18.0
23402,2012,3920,Blake Griffin,LAC,PF,23.4,6.6,2.6,9.2,0.185,3.9,3.7,3.4,0.0,8.5,20.7
22793,2011,3920,Blake Griffin,LAC,PF,21.9,6.5,3.4,9.8,0.152,3.0,2.6,3.6,0.004,8.5,22.5
29042,2021,3585,Chris Paul,PHO,PG,21.4,6.5,2.7,9.2,0.201,3.5,4.6,3.6,0.138,6.3,16.4
28384,2020,3585,Chris Paul,OKC,PG,21.7,5.9,3.0,8.9,0.193,3.0,4.4,3.5,0.026,6.2,17.6
27677,2019,3585,Chris Paul,HOU,PG,19.7,4.4,2.2,6.6,0.172,2.7,3.9,2.8,0.0,5.2,15.6
26424,2017,3585,Chris Paul,LAC,PG,26.2,7.9,2.6,10.6,0.264,6.3,8.7,5.2,0.0,6.1,18.1
25844,2016,3585,Chris Paul,LAC,PG,26.2,9.2,3.5,12.7,0.253,5.9,7.9,6.0,0.082,7.0,19.5
25204,2015,3585,Chris Paul,LAC,PG,26.0,12.9,3.2,16.1,0.27,6.4,8.0,7.2,0.095,6.9,19.1
24586,2014,3585,Chris Paul,LAC,PG,25.9,9.0,3.2,12.2,0.27,6.0,8.6,5.8,0.036,6.5,19.1
23994,2013,3585,Chris Paul,LAC,PG,26.4,10.6,3.4,13.9,0.287,6.4,8.8,6.4,0.239,5.9,16.9
23444,2012,3585,Chris Paul,LAC,PG,27.0,10.4,2.3,12.7,0.278,6.7,9.2,6.1,0.318,7.1,19.8
22841,2011,3585,Chris Paul,NOH,PG,23.7,9.5,4.4,13.9,0.232,4.4,7.1,6.7,0.002,5.4,15.9
22261,2010,3585,Chris Paul,NOH,PG,23.7,5.7,1.5,7.3,0.204,4.6,6.2,3.5,0.0,7.0,18.7
21691,2009,3585,Chris Paul,NOH,PG,30.0,13.3,5.0,18.3,0.292,7.2,11.0,9.9,0.159,8.1,22.8
21089,2008,3585,Chris Paul,NOH,PG,28.3,13.2,4.6,17.8,0.284,7.2,10.4,9.3,0.71,7.9,21.1
20552,2007,3585,Chris Paul,NOK,PG,22.0,6.2,2.6,8.8,0.179,3.6,5.0,4.2,0.0,6.0,17.3
29072,2021,4077,Damian Lillard,POR,PG,25.6,9.6,0.8,10.4,0.209,7.5,6.3,5.0,0.038,9.0,28.8
28403,2020,4077,Damian Lillard,POR,PG,26.9,10.9,0.7,11.6,0.225,8.3,7.5,5.9,0.023,9.5,30.0
27699,2019,4077,Damian Lillard,POR,PG,23.7,9.7,2.4,12.1,0.205,6.6,6.4,6.0,0.068,8.5,25.8
27025,2018,4077,Damian Lillard,POR,PG,25.2,9.9,2.7,12.6,0.227,7.0,7.2,6.3,0.205,8.5,26.9
26440,2017,4077,Damian Lillard,POR,PG,24.1,8.8,1.5,10.4,0.185,6.1,5.0,4.8,0.0,8.8,27.0
25866,2016,4077,Damian Lillard,POR,PG,22.2,7.7,1.4,9.2,0.165,5.7,4.4,4.3,0.02,8.2,25.1
25221,2015,4077,Damian Lillard,POR,PG,20.7,7.3,3.3,10.6,0.174,4.3,4.7,4.9,0.0,7.2,21.0
29107,2021,3872,DeMar DeRozan,SAS,PF,22.0,5.9,1.5,7.4,0.172,3.2,3.1,2.6,0.0,7.5,21.6
27728,2019,3872,DeMar DeRozan,SAS,SG,19.6,3.6,2.6,6.3,0.112,1.0,1.1,2.2,0.0,8.2,21.2
27056,2018,3872,DeMar DeRozan,TOR,SG,21.0,6.8,2.8,9.6,0.17,3.3,2.8,3.2,0.032,8.1,23.0
26463,2017,3872,DeMar DeRozan,TOR,SG,24.0,6.7,2.4,9.0,0.166,4.1,3.0,3.3,0.001,9.7,27.3
25882,2016,3872,DeMar DeRozan,TOR,SG,21.5,7.5,2.4,9.9,0.169,3.2,2.5,3.2,0.0,7.9,23.5
23502,2012,3812,Derrick Rose,CHI,PG,23.0,4.1,2.0,6.0,0.211,6.1,6.4,2.9,0.004,7.7,21.8
