seas_id,season,player_id,player,pos,age,lg,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x0_3_range,fg_percent_from_x3_10_range,fg_percent_from_x10_16_range,fg_percent_from_x16_3p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,num_of_dunks,percent_corner_3s_of_3pa,corner_3_point_percent,num_heaves_attempted,num_heaves_made,mvp_share,gs,mp_per_game,fg_per_game,fga_per_game,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
29246,2021,3880,James Harden,SG,31.0,NBA,HOU,8,290.0,22.4,0.613,0.533,0.444,1.8,13.8,7.5,46.9,1.1,1.8,17.4,28.7,0.8,0.2,1.0,0.159,5.5,-0.5,5.0,0.5,0.444,15.7,0.467,0.311,0.133,0.022,0.0,0.533,0.556,0.69,0.278,0.333,,0.347,0.2,0.28,0.007,1,0.056,0.25,1,0,0.0,8.0,36.3,7.5,16.9,3.1,9.0,0.347,4.4,7.9,0.556,0.537,6.6,7.5,0.883,0.6,4.5,5.1,10.4,0.9,0.8,4.3,1.8,24.8
29247,2021,3880,James Harden,PG,31.0,NBA,BRK,36,1319.0,25.0,0.619,0.437,0.439,2.6,22.1,12.9,43.8,1.7,1.8,16.7,28.4,4.5,1.5,6.0,0.219,6.4,1.3,7.7,3.2,0.471,14.2,0.563,0.222,0.285,0.043,0.012,0.437,0.552,0.669,0.474,0.462,0.571,0.366,0.161,0.24,0.007,3,0.042,0.364,1,0,0.0,35.0,36.6,7.8,16.6,2.7,7.3,0.366,5.2,9.4,0.552,0.551,6.3,7.3,0.856,0.8,7.7,8.5,10.9,1.3,0.8,4.0,2.4,24.6
28559,2020,3880,James Harden,SG,30.0,NBA,HOU,68,2483.0,29.1,0.626,0.557,0.528,2.9,16.0,9.4,35.9,2.3,2.1,14.2,36.3,9.9,3.2,13.1,0.254,8.1,1.6,9.6,7.3,0.444,16.6,0.443,0.243,0.177,0.018,0.005,0.557,0.556,0.668,0.414,0.444,0.5,0.355,0.139,0.171,0.015,20,0.045,0.342,1,0,0.363,68.0,36.5,9.9,22.3,4.4,12.4,0.355,5.5,9.9,0.556,0.543,10.2,11.8,0.865,1.0,5.5,6.6,7.5,1.8,0.9,4.5,3.3,34.3
27871,2019,3880,James Harden,PG,29.0,NBA,HOU,78,2867.0,30.6,0.616,0.539,0.449,2.5,17.8,10.0,39.5,2.7,1.7,14.5,40.5,11.4,3.8,15.2,0.254,9.4,1.6,11.0,9.3,0.442,16.4,0.461,0.235,0.166,0.042,0.018,0.539,0.528,0.6,0.467,0.444,0.343,0.368,0.105,0.161,0.012,20,0.079,0.358,1,0,0.768,78.0,36.8,10.8,24.5,4.8,13.2,0.368,6.0,11.3,0.528,0.541,9.7,11.0,0.879,0.8,5.8,6.6,7.5,2.0,0.7,5.0,3.1,36.1
27201,2018,3880,James Harden,SG,28.0,NBA,HOU,72,2551.0,29.8,0.619,0.498,0.502,1.8,15.2,8.6,45.1,2.4,1.7,15.1,36.1,11.6,3.8,15.4,0.289,8.5,1.4,9.9,7.7,0.449,15.3,0.502,0.273,0.118,0.071,0.039,0.498,0.531,0.658,0.351,0.437,0.368,0.367,0.088,0.26,0.013,19,0.072,0.327,2,0,0.955,72.0,35.4,9.0,20.1,3.7,10.0,0.367,5.4,10.1,0.531,0.541,8.7,10.1,0.858,0.6,4.8,5.4,8.8,1.8,0.7,4.4,2.3,30.4
26560,2017,3880,James Harden,PG,27.0,NBA,HOU,81,2947.0,27.4,0.613,0.493,0.575,3.5,20.9,12.2,50.7,2.0,1.0,19.5,34.2,11.5,3.6,15.0,0.245,7.5,1.2,8.7,8.0,0.44,15.9,0.507,0.242,0.134,0.076,0.053,0.493,0.53,0.682,0.364,0.419,0.427,0.347,0.095,0.317,0.014,21,0.056,0.357,3,0,0.746,81.0,36.4,8.3,18.9,3.2,9.3,0.347,5.1,9.6,0.53,0.525,9.2,10.9,0.847,1.2,7.0,8.1,11.2,1.5,0.5,5.7,2.7,29.1
25973,2016,3880,James Harden,SG,26.0,NBA,HOU,82,3125.0,25.3,0.598,0.406,0.518,2.2,15.6,8.8,35.4,2.2,1.4,15.9,32.5,10.7,2.6,13.3,0.204,6.4,0.2,6.6,6.8,0.439,14.4,0.594,0.246,0.124,0.105,0.12,0.406,0.494,0.65,0.328,0.426,0.402,0.359,0.181,0.521,0.011,16,0.094,0.274,0,0,0.007,82.0,38.1,8.7,19.7,2.9,8.0,0.359,5.8,11.7,0.494,0.512,8.8,10.2,0.86,0.8,5.3,6.1,7.5,1.7,0.6,4.6,2.8,29.0
25363,2015,3880,James Harden,SG,25.0,NBA,HOU,81,2981.0,26.7,0.605,0.378,0.561,2.8,14.2,8.5,34.6,2.6,1.6,14.9,31.3,12.2,4.2,16.4,0.265,7.0,1.8,8.8,8.1,0.44,13.5,0.622,0.311,0.106,0.074,0.131,0.378,0.48,0.615,0.295,0.431,0.337,0.375,0.166,0.51,0.023,33,0.108,0.467,1,0,0.72,81.0,36.8,8.0,18.1,2.6,6.9,0.375,5.4,11.3,0.48,0.511,8.8,10.2,0.868,0.9,4.7,5.7,7.0,1.9,0.7,4.0,2.6,27.4
24731,2014,3880,James Harden,SG,24.0,NBA,HOU,73,2777.0,23.5,0.618,0.401,0.552,2.6,10.7,6.9,27.3,2.1,0.8,15.0,27.8,10.1,2.7,12.8,0.221,5.4,0.2,5.6,5.3,0.456,14.8,0.599,0.273,0.122,0.079,0.125,0.401,0.515,0.632,0.395,0.463,0.411,0.366,0.223,0.588,0.039,45,0.066,0.375,1,0,0.068,73.0,38.0,7.5,16.5,2.4,6.6,0.366,5.1,9.9,0.515,0.529,7.9,9.1,0.866,0.8,3.9,4.7,6.1,1.6,0.4,3.6,2.4,25.4
24148,2013,3880,James Harden,SG,23.0,NBA,HOU,78,2985.0,22.9,0.6,0.364,0.592,2.4,11.9,7.2,25.7,2.4,1.0,14.9,29.0,9.8,3.0,12.8,0.206,5.2,0.5,5.6,5.8,0.438,13.7,0.636,0.308,0.149,0.049,0.13,0.364,0.477,0.65,0.296,0.318,0.333,0.368,0.241,0.475,0.035,46,0.033,0.25,3,1,0.027,78.0,38.3,7.5,17.1,2.3,6.2,0.368,5.2,10.9,0.477,0.504,8.6,10.2,0.851,0.8,4.1,4.9,5.8,1.8,0.5,3.8,2.3,25.9
