seas_id,season,player_id,player,pos,age,lg,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x0_3_range,fg_percent_from_x3_10_range,fg_percent_from_x10_16_range,fg_percent_from_x16_3p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,num_of_dunks,percent_corner_3s_of_3pa,corner_3_point_percent,num_heaves_attempted,num_heaves_made,mvp_share,gs,mp_per_game,fg_per_game,fga_per_game,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
30873,2023,3463,LeBron James,PF,38.0,NBA,LAL,55,1954.0,23.9,0.583,0.309,0.268,3.7,20.8,12.5,33.5,1.2,1.4,11.6,33.3,3.2,2.4,5.6,0.138,5.5,0.6,6.1,4.0,0.5,12.8,0.691,0.302,0.197,0.084,0.107,0.309,0.58,0.788,0.463,0.34,0.397,0.321,0.395,0.628,0.062,74,0.08,0.267,0,0,0.0,54.0,35.5,11.1,22.2,2.2,6.9,0.321,8.9,15.3,0.58,0.549,4.6,5.9,0.768,1.2,7.1,8.3,6.8,0.9,0.6,3.2,1.6,28.9
30150,2022,3463,LeBron James,PF,37.0,NBA,LAL,56,2084.0,26.2,0.619,0.367,0.275,3.3,20.4,11.8,30.6,1.7,2.5,12.5,32.3,5.2,2.3,7.5,0.172,6.9,0.8,7.7,5.1,0.524,13.8,0.633,0.325,0.141,0.073,0.094,0.367,0.62,0.796,0.465,0.382,0.426,0.359,0.407,0.559,0.07,85,0.074,0.303,0,0,0.001,56.0,37.2,11.4,21.8,2.9,8.0,0.359,8.6,13.8,0.62,0.59,4.5,6.0,0.756,1.1,7.1,8.2,6.2,1.3,1.1,3.5,2.2,30.3
29371,2021,3463,LeBron James,PG,36.0,NBA,LAL,45,1504.0,24.2,0.602,0.346,0.31,2.2,23.6,12.9,41.8,1.6,1.5,15.2,31.9,3.0,2.6,5.6,0.179,5.9,2.3,8.1,3.8,0.513,13.9,0.654,0.318,0.118,0.104,0.113,0.346,0.591,0.782,0.474,0.384,0.366,0.365,0.327,0.519,0.062,48,0.077,0.455,0,0,0.001,45.0,33.4,9.4,18.3,2.3,6.3,0.365,7.1,12.0,0.591,0.576,4.0,5.7,0.698,0.6,7.0,7.7,7.8,1.1,0.6,3.7,1.6,25.0
28697,2020,3463,LeBron James,PG,35.0,NBA,LAL,67,2316.0,25.5,0.577,0.326,0.292,3.2,21.5,12.4,49.1,1.6,1.4,15.1,31.5,6.2,3.6,9.8,0.204,6.6,1.8,8.4,6.1,0.493,12.9,0.674,0.365,0.139,0.073,0.097,0.326,0.564,0.727,0.409,0.337,0.341,0.348,0.234,0.473,0.062,79,0.061,0.5,1,0,0.746,67.0,34.6,9.6,19.4,2.2,6.3,0.348,7.4,13.1,0.564,0.55,3.9,5.7,0.693,1.0,6.9,7.8,10.2,1.2,0.5,3.9,1.8,25.3
28009,2019,3463,LeBron James,SF,34.0,NBA,LAL,55,1937.0,25.6,0.588,0.299,0.382,3.1,21.3,12.4,39.4,1.7,1.4,13.3,31.6,4.7,2.6,7.2,0.179,6.4,1.7,8.0,4.9,0.51,12.3,0.701,0.38,0.132,0.077,0.112,0.299,0.582,0.755,0.297,0.417,0.447,0.339,0.34,0.342,0.081,85,0.073,0.292,0,0,0.001,55.0,35.2,10.1,19.9,2.0,5.9,0.339,8.1,14.0,0.582,0.56,5.1,7.6,0.665,1.0,7.4,8.5,8.3,1.3,0.6,3.6,1.7,27.4
27322,2018,3463,LeBron James,PF,33.0,NBA,CLE,82,3026.0,28.6,0.621,0.257,0.336,3.7,22.3,13.1,44.4,1.9,2.0,16.1,31.6,11.0,3.0,14.0,0.221,7.3,1.4,8.7,8.2,0.542,10.9,0.743,0.423,0.114,0.089,0.118,0.257,0.603,0.766,0.378,0.421,0.371,0.367,0.301,0.356,0.08,120,0.084,0.382,1,0,0.731,82.0,36.9,10.5,19.3,1.8,5.0,0.367,8.6,14.3,0.603,0.59,4.7,6.5,0.731,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.7,27.5
26682,2017,3463,LeBron James,SF,32.0,NBA,CLE,74,2794.0,27.0,0.619,0.254,0.395,4.0,20.7,12.6,41.3,1.6,1.3,16.1,30.0,9.8,3.0,12.9,0.221,6.4,1.2,7.6,6.7,0.548,11.0,0.746,0.432,0.106,0.105,0.102,0.254,0.611,0.78,0.385,0.44,0.307,0.363,0.355,0.492,0.112,145,0.102,0.371,0,0,0.33,74.0,37.8,9.9,18.2,1.7,4.6,0.363,8.3,13.5,0.611,0.594,4.8,7.2,0.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4
26107,2016,3463,LeBron James,SF,31.0,NBA,CLE,76,2709.0,27.5,0.588,0.199,0.347,4.7,18.8,11.8,36.0,2.0,1.5,13.2,31.4,9.6,4.0,13.6,0.242,7.0,2.0,9.0,7.5,0.52,9.6,0.801,0.459,0.119,0.093,0.129,0.199,0.573,0.722,0.361,0.348,0.404,0.309,0.378,0.598,0.083,111,0.117,0.273,0,0,0.482,76.0,35.6,9.7,18.6,1.1,3.7,0.309,8.6,14.9,0.573,0.551,4.7,6.5,0.731,1.5,6.0,7.4,6.8,1.4,0.6,3.3,1.9,25.3
25491,2015,3463,LeBron James,SF,30.0,NBA,CLE,69,2493.0,25.9,0.577,0.265,0.413,2.4,16.6,9.6,38.6,2.3,1.6,15.3,32.3,7.4,2.9,10.4,0.199,6.1,1.0,7.1,5.7,0.488,12.1,0.735,0.334,0.125,0.116,0.159,0.265,0.536,0.721,0.413,0.356,0.377,0.354,0.315,0.467,0.072,88,0.115,0.385,1,0,0.425,69.0,36.1,9.0,18.5,1.7,4.9,0.354,7.3,13.6,0.536,0.535,5.4,7.7,0.71,0.7,5.3,6.0,7.4,1.6,0.7,3.9,2.0,25.3
24853,2014,3463,LeBron James,PF,29.0,NBA,MIA,77,2902.0,29.3,0.649,0.226,0.432,3.6,18.9,11.5,32.0,2.2,0.8,14.4,31.0,12.3,3.7,15.9,0.264,7.8,1.1,8.8,7.9,0.567,11.4,0.774,0.399,0.123,0.084,0.168,0.226,0.622,0.796,0.554,0.404,0.366,0.379,0.395,0.534,0.101,134,0.144,0.568,0,0,0.713,77.0,37.7,10.0,17.6,1.5,4.0,0.379,8.5,13.6,0.622,0.61,5.7,7.6,0.75,1.1,5.9,6.9,6.3,1.6,0.3,3.5,1.6,27.1
24275,2013,3463,LeBron James,PF,28.0,NBA,MIA,76,2877.0,31.6,0.64,0.188,0.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,14.6,4.7,19.3,0.322,9.3,2.4,11.7,9.9,0.565,11.2,0.812,0.373,0.133,0.105,0.202,0.188,0.602,0.776,0.494,0.415,0.447,0.406,0.378,0.553,0.109,144,0.161,0.488,0,0,0.998,76.0,37.9,10.1,17.8,1.4,3.3,0.406,8.7,14.5,0.602,0.603,5.3,7.0,0.753,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4,26.8
23706,2012,3463,LeBron James,SF,27.0,NBA,MIA,62,2326.0,30.7,0.605,0.127,0.429,5.0,19.7,12.6,33.6,2.6,1.7,13.3,32.0,10.0,4.5,14.5,0.298,8.2,2.7,10.9,7.6,0.531,11.5,0.873,0.329,0.136,0.135,0.272,0.127,0.556,0.758,0.484,0.481,0.384,0.362,0.36,0.519,0.092,104,0.121,0.333,0,0,0.888,62.0,37.5,10.0,18.9,0.9,2.4,0.362,9.1,16.5,0.556,0.554,6.2,8.1,0.771,1.5,6.4,7.9,6.2,1.9,0.8,3.4,1.5,27.1
23116,2011,3463,LeBron James,SF,26.0,NBA,MIA,79,3063.0,27.3,0.594,0.188,0.446,3.3,18.7,11.4,34.9,2.1,1.3,13.8,31.5,10.3,5.3,15.6,0.244,6.3,1.8,8.1,7.8,0.51,12.7,0.812,0.284,0.172,0.094,0.262,0.188,0.552,0.744,0.459,0.443,0.445,0.33,0.284,0.609,0.068,98,0.211,0.322,5,1,0.431,79.0,38.8,9.6,18.8,1.2,3.5,0.33,8.4,15.3,0.552,0.541,6.4,8.4,0.759,1.0,6.5,7.5,7.0,1.6,0.6,3.6,2.1,26.7
22500,2010,3463,LeBron James,SF,25.0,NBA,CLE,76,2966.0,31.1,0.604,0.253,0.506,3.0,18.5,11.1,41.8,2.2,2.0,12.3,33.5,13.3,5.2,18.5,0.299,9.1,2.8,11.8,10.3,0.503,13.4,0.747,0.342,0.082,0.061,0.262,0.253,0.56,0.745,0.468,0.344,0.398,0.333,0.369,0.341,0.08,117,0.111,0.395,4,0,0.98,76.0,39.0,10.1,20.1,1.7,5.1,0.333,8.4,15.0,0.56,0.545,7.8,10.2,0.767,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,29.7
21909,2009,3463,LeBron James,SF,24.0,NBA,CLE,81,3054.0,31.7,0.591,0.238,0.472,4.3,19.0,11.9,38.0,2.4,2.4,11.0,33.8,13.7,6.5,20.3,0.318,9.5,3.7,13.2,11.8,0.489,13.4,0.762,0.333,0.092,0.074,0.263,0.238,0.535,0.728,0.453,0.286,0.388,0.344,0.318,0.424,0.083,128,0.107,0.341,7,0,0.969,81.0,37.7,9.7,19.9,1.6,4.7,0.344,8.1,15.2,0.535,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7,28.4
21320,2008,3463,LeBron James,SF,23.0,NBA,CLE,75,3027.0,29.1,0.568,0.219,0.47,4.9,17.8,11.1,37.3,2.4,2.1,11.4,33.5,10.7,4.6,15.2,0.242,8.2,2.6,10.9,9.8,0.484,12.2,0.781,0.373,0.09,0.08,0.238,0.219,0.531,0.706,0.426,0.303,0.372,0.315,0.333,0.398,0.069,109,0.095,0.353,2,0,0.348,74.0,40.4,10.6,21.9,1.5,4.8,0.315,9.1,17.1,0.531,0.518,7.3,10.3,0.712,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2,30.0
20761,2007,3463,LeBron James,SF,22.0,NBA,CLE,78,3190.0,24.5,0.552,0.191,0.432,3.0,16.6,9.6,29.1,2.1,1.3,11.5,31.0,8.0,5.7,13.7,0.206,5.9,2.2,8.1,8.1,0.476,12.2,0.809,0.333,0.125,0.111,0.241,0.191,0.513,0.725,0.406,0.361,0.346,0.319,0.321,0.495,0.068,108,0.145,0.444,5,1,0.142,78.0,40.9,9.9,20.8,1.3,4.0,0.319,8.6,16.8,0.513,0.507,6.3,9.0,0.698,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2,27.3
20211,2006,3463,LeBron James,SF,21.0,NBA,CLE,79,3361.0,28.1,0.568,0.208,0.447,2.6,17.1,9.8,32.8,2.0,1.5,10.7,33.6,12.0,4.3,16.3,0.232,7.5,1.6,9.1,9.4,0.48,12.4,0.792,0.353,0.092,0.094,0.253,0.208,0.518,0.689,0.411,0.304,0.398,0.335,0.303,0.417,0.065,114,0.185,0.343,5,0,0.55,79.0,42.5,11.1,23.1,1.6,4.8,0.335,9.5,18.3,0.518,0.515,7.6,10.3,0.738,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,31.4
19652,2005,3463,LeBron James,SF,20.0,NBA,CLE,80,3388.0,25.7,0.554,0.183,0.378,3.8,17.0,10.2,32.9,2.8,1.1,11.8,29.7,9.7,4.6,14.3,0.203,7.0,1.7,8.6,9.1,0.472,12.1,0.817,0.311,0.137,0.121,0.248,0.183,0.499,0.725,0.37,0.324,0.373,0.351,0.445,0.5,0.076,126,0.185,0.491,0,0,0.073,80.0,42.4,9.9,21.1,1.4,3.9,0.351,8.6,17.2,0.499,0.504,6.0,8.0,0.75,1.4,6.0,7.4,7.2,2.2,0.7,3.3,1.8,27.2
19051,2004,3463,LeBron James,SG,19.0,NBA,CLE,79,3122.0,18.3,0.488,0.145,0.308,3.5,11.8,7.6,27.8,2.2,1.3,13.9,28.2,2.4,2.6,5.1,0.078,2.3,-0.6,1.7,2.9,0.417,11.2,0.855,0.315,0.168,0.161,0.211,0.145,0.438,0.604,0.356,0.313,0.352,0.29,0.442,0.746,0.064,91,0.286,0.323,3,0,0.009,79.0,39.5,7.9,18.9,0.8,2.7,0.29,7.1,16.1,0.438,0.438,4.4,5.8,0.754,1.3,4.2,5.5,5.9,1.6,0.7,3.5,1.9,20.9
